index,mean,std,percentile,name,meanhue,std hue
306,164.3297388,10.82172263,0.094057143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\26.JPG,0.015196099,0.131857897
307,165.6022331,9.996025277,0.086042857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\27.JPG,0.013301818,0.131045771
308,165.1524967,9.358438596,0.095482143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\28.JPG,0.003774256,0.006155414
309,166.4191093,8.41268883,0.085410714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\29.JPG,0.004354253,0.005743957
310,164.5216225,10.73448884,0.094560714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\3.JPG,0.015841576,0.135743783
311,165.1448066,9.050826173,0.095003571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\30.JPG,0.004049916,0.006388227
312,165.8732851,9.031635857,0.08695,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\31.JPG,0.008746951,0.093075955
313,164.2366973,11.36187101,0.094771429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\32.JPG,0.026562269,0.207997234
314,164.6872398,9.527158898,0.091775,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\33.JPG,0.003469408,0.016847195
315,164.535594,8.900425348,0.092260714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\34.JPG,0.004424452,0.045192687
316,165.1052899,7.809179469,0.091346429,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\35.JPG,0.002767945,0.005715698
317,165.0100868,7.707196616,0.091703571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\36.JPG,0.002739757,0.009705507
318,165.2018858,7.768657076,0.092042857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\37.JPG,0.002930429,0.013175412
319,165.1076195,7.765815596,0.092853571,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\38.JPG,0.002786888,0.006364148
320,164.6797729,8.229773309,0.093739286,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\39.JPG,0.003066925,0.016984736
321,165.1278666,10.16004373,0.092507143,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\4.JPG,0.004669324,0.013119866
322,164.2517945,10.97982771,0.088067857,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\40.JPG,0.031931818,0.231340795
323,164.7871533,9.997624948,0.084735714,C:\opencv\whitecolor\Images\White Diamond 110107888315\White Diamond 110107888315\110107888315\2015-06-23_13.14\41.JPG,0.013331733,0.128055632
