index,mean,std,percentile,name,mean hue,std hue
6924,162.8634308,19.44228381,0.041057143,C:\opencv\nonwhite\628\6282375868\6282375868_CV014_StoneImage74_2018-03-12_051522.JPG,0.041619281,0.247312283
6925,87.57729113,22.01125844,0.077628571,C:\opencv\nonwhite\629\629\629_CV041_StoneImage112_2018-06-18_115640.JPG,1.848346568,0.489267967
6926,90.72553558,26.03714607,0.078685714,C:\opencv\nonwhite\629\629\629_CV041_StoneImage36_2018-06-18_115640.JPG,1.687326875,0.694423757
6927,111.179253,27.84844174,0.0786,C:\opencv\nonwhite\629\629\629_CV041_StoneImage74_2018-06-18_115640.JPG,1.161440745,0.951624966
6928,172.6998573,26.44100234,0.050071429,C:\opencv\nonwhite\63\63\63_CV006_StoneImage112_2018-01-04_050239.JPG,0.102200353,0.426194581
6929,169.0561335,26.38764517,0.051153571,C:\opencv\nonwhite\63\63\63_CV006_StoneImage112_2018-01-04_050431.JPG,0.111382107,0.445245566
6930,176.9378943,18.74640762,0.05095,C:\opencv\nonwhite\63\63\63_CV006_StoneImage36_2018-01-04_050239.JPG,0.031373391,0.231531964
6931,176.5046208,21.74910559,0.050625,C:\opencv\nonwhite\63\63\63_CV006_StoneImage36_2018-01-04_050431.JPG,0.044492915,0.274061744
6932,172.2142857,23.60834949,0.0509,C:\opencv\nonwhite\63\63\63_CV006_StoneImage74_2018-01-04_050239.JPG,0.095611882,0.407460025
6933,174.4729033,22.53360987,0.050546429,C:\opencv\nonwhite\63\63\63_CV006_StoneImage74_2018-01-04_050431.JPG,0.054339519,0.312054637
6934,173.4543168,22.30807299,0.051128571,C:\opencv\nonwhite\63\63\63_CV010_StoneImage112_2018-06-26_010557.JPG,0.072835234,0.350469448
6935,174.2997163,22.15785395,0.052871429,C:\opencv\nonwhite\63\63\63_CV010_StoneImage36_2018-06-26_010557.JPG,0.056632846,0.289905447
6936,173.2777351,27.85414094,0.051089286,C:\opencv\nonwhite\63\63\63_CV010_StoneImage74_2018-06-26_010557.JPG,0.09761148,0.413075039
6937,132.0913374,32.8332322,0.059121429,C:\opencv\nonwhite\633\633\633_CV041_StoneImage113_2018-06-18_122239.JPG,0.922878207,0.953938233
6938,143.1178125,23.6521736,0.050807143,C:\opencv\nonwhite\633\633\633_CV041_StoneImage37_2018-06-18_122239.JPG,0.39780161,0.767257234
6939,148.1972564,27.5847631,0.054932143,C:\opencv\nonwhite\633\633\633_CV041_StoneImage75_2018-06-18_122239.JPG,0.43868628,0.786909629
6940,174.3195244,19.87222521,0.03845,C:\opencv\nonwhite\633\633699\633699_CV021_StoneImage112_2020-03-04_141945.JPG,0.044905823,0.270804333
6941,174.4328667,22.62769683,0.038010714,C:\opencv\nonwhite\633\633699\633699_CV021_StoneImage36_2020-03-04_141945.JPG,0.086227303,0.386705341
6942,173.9677719,23.08878969,0.038453571,C:\opencv\nonwhite\633\633699\633699_CV021_StoneImage74_2020-03-04_141945.JPG,0.073034403,0.336264117
6943,76.38042952,25.67940599,0.088471429,C:\opencv\nonwhite\634\634\634_CV041_StoneImage112_2018-06-18_120652.JPG,1.948485816,0.280928383
6944,71.53562093,21.88270866,0.086075,C:\opencv\nonwhite\634\634\634_CV041_StoneImage36_2018-06-18_120652.JPG,1.978878913,0.201044892
6945,72.20240003,19.64248972,0.086903571,C:\opencv\nonwhite\634\634\634_CV041_StoneImage74_2018-06-18_120652.JPG,1.974084101,0.221803682
6946,67.7328845,25.13598056,0.040846429,C:\opencv\nonwhite\635\635\635_CV041_StoneImage112_2018-06-18_123321.JPG,1.943810838,0.328897173
